genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan
84,180,90,2,9,1,2,86
84,204,79,3,2,7,3,100
84,174,74,3,20,3,2,87
84,187,78,2,6,5,3,91
84,187,89,2,12,0,2,83
84,175,74,2,2,3,3,89
84,196,68,2,14,8,1,80
84,182,83,1,1,8,3,77
84,176,91,1,17,1,2,73
84,180,74,1,5,9,2,73
84,191,73,1,18,7,4,67
84,204,74,2,15,10,2,81
84,168,75,2,12,3,3,78
84,198,63,3,21,5,2,90
84,199,78,1,14,7,3,66
84,194,78,1,0,1,2,84
84,182,89,3,6,8,1,92
84,159,74,2,9,7,3,73
84,176,101,1,12,10,2,67
84,171,82,1,21,9,4,55
84,188,79,2,18,7,3,76
84,185,87,2,13,3,1,85
84,161,66,1,7,9,3,73
84,169,72,1,11,8,2,72
84,184,80,1,21,9,2,60
84,195,61,0,5,8,2,75
84,187,75,2,1,9,2,95
84,208,95,1,17,1,2,76
84,184,85,3,21,6,1,85
84,178,77,3,17,9,3,81
84,183,101,2,21,9,2,70
84,186,74,2,2,4,2,97
84,173,83,1,8,8,2,71
84,180,87,1,22,6,2,64
84,198,74,2,15,5,3,78
84,183,68,2,18,0,2,90
84,196,69,1,13,7,2,76
84,181,96,1,12,8,2,70
84,194,65,3,19,9,3,85
84,184,74,1,14,9,3,63
84,167,89,2,18,7,3,72
84,183,81,1,17,7,2,74
84,170,89,3,2,4,2,101
84,186,99,2,9,7,1,88
84,190,85,1,19,7,1,69
84,178,79,2,20,9,3,70
84,190,64,2,17,4,1,84
84,179,80,2,4,3,2,90
84,197,67,1,5,7,5,78
84,186,111,2,0,1,2,92
84,169,101,2,8,8,2,73
84,179,90,1,7,7,3,66
84,170,106,2,1,5,1,88
84,181,62,1,4,8,4,74
84,213,73,1,6,4,4,83
84,185,88,2,8,1,1,92
84,164,81,2,2,4,2,92
84,164,72,2,20,7,2,71
84,201,69,3,5,3,2,107
84,164,90,3,0,8,3,92
84,190,110,2,0,7,1,95
84,203,99,1,4,9,1,80
83,164,90,1,0,8,2,79
83,174,83,3,3,6,2,98
83,188,98,1,0,4,3,81
83,179,74,2,1,9,3,86
83,200,62,1,18,5,2,75
83,183,75,1,20,6,2,70
83,177,81,2,7,3,2,91
83,170,68,1,0,6,3,81
83,206,67,1,2,7,1,88
83,200,92,2,5,9,1,88
83,167,105,2,0,4,1,84
83,175,77,2,21,6,2,79
83,189,85,1,6,6,3,71
83,173,72,1,10,6,3,70
83,179,98,1,15,4,2,70
83,178,71,2,0,8,2,92
83,177,94,2,17,2,1,78
83,176,69,3,7,8,3,89
83,210,73,2,3,8,1,97
83,196,62,2,2,5,3,88
83,186,75,3,0,1,2,107
83,174,74,1,6,4,4,70
83,188,78,2,1,4,3,94
83,183,89,2,0,9,3,84
83,173,81,2,8,9,2,76
83,183,83,1,20,8,3,66
83,177,64,1,13,6,2,71
83,184,69,1,6,7,3,80
83,178,74,1,12,2,3,68
83,181,69,0,0,9,3,71
83,205,65,3,20,9,3,82
83,164,71,2,4,8,3,77
83,184,90,4,4,3,2,105
83,188,64,1,1,2,1,93
83,212,81,1,0,5,1,88
83,192,91,2,1,6,2,86
83,179,61,2,0,9,3,89
83,206,66,1,0,0,3,89
83,183,61,4,0,5,1,113
83,186,68,2,12,7,1,88
83,205,62,2,3,3,2,97
83,172,75,2,9,0,3,84
83,173,73,2,17,9,4,70
83,166,107,1,12,10,2,59
83,174,82,1,7,6,5,63
83,201,61,0,6,8,3,72
83,175,98,2,21,7,2,70
83,202,61,2,2,3,2,96
83,167,78,1,18,8,2,65
83,201,96,1,2,7,3,78
83,178,68,2,0,5,2,96
83,202,71,1,8,4,3,76
83,159,75,1,0,8,4,67
83,181,80,1,16,7,4,66
83,186,95,2,6,9,2,84
83,169,93,1,21,8,2,57
83,192,69,2,0,5,2,98
83,171,80,2,7,9,2,84
83,164,86,1,15,9,3,56
83,198,79,3,14,7,2,93
83,170,68,2,20,1,3,76
83,176,78,2,9,9,1,83
83,187,67,1,20,3,3,68
83,182,105,3,4,8,3,89
83,181,67,2,13,1,3,86
83,181,110,1,16,5,2,68
83,187,71,2,11,3,2,87
83,190,85,3,22,9,2,78
83,193,104,1,19,6,3,64
83,187,67,2,0,6,3,91
83,188,63,2,22,0,2,80
83,195,64,3,0,1,3,107
83,182,62,2,18,6,2,80
83,167,78,3,13,7,2,91
83,194,94,2,0,6,2,89
83,175,75,1,19,6,4,61
83,183,68,2,18,1,3,78
83,202,92,1,14,2,2,79
83,183,71,2,3,9,2,85
83,201,74,2,17,4,4,75
83,168,99,2,14,9,1,74
83,188,62,2,20,4,1,83
83,204,79,1,4,8,2,82
83,196,74,1,0,3,3,85
83,183,71,2,13,8,4,75
83,186,97,2,15,7,1,82
83,180,66,1,8,8,3,68
83,195,86,1,22,8,2,62
83,167,65,1,5,3,1,80
83,186,71,3,7,8,3,90
83,172,64,1,12,9,1,71
83,165,88,2,8,9,3,75
83,186,75,1,18,1,2,72
83,184,79,3,15,7,3,87
83,163,108,1,10,7,2,63
83,193,94,1,11,5,1,78
83,176,90,2,13,7,1,81
83,180,78,3,5,9,3,90
83,192,62,2,3,3,2,92
83,201,75,3,15,1,2,94
83,185,60,2,1,3,2,95
83,175,62,2,1,9,2,88
83,195,81,1,18,5,2,70
83,196,83,2,0,7,4,82
83,198,77,1,0,7,4,75
83,206,89,1,4,1,3,86
83,178,69,1,14,6,2,75
83,198,76,1,10,9,2,70
83,196,90,1,0,2,4,84
83,207,70,1,1,8,3,80
83,177,78,1,22,0,3,68
83,181,70,0,1,7,2,74
83,169,85,1,17,4,3,65
83,196,100,2,19,8,1,74
83,173,73,3,5,3,2,104
83,161,60,1,18,6,2,63
83,179,112,1,18,5,3,61
83,165,96,1,7,8,2,70
83,197,66,1,3,9,3,78
83,181,73,2,15,5,3,76
83,198,76,1,1,9,3,73
83,172,82,3,21,8,1,84
83,204,63,3,4,8,3,94
83,205,74,1,4,7,1,85
83,184,72,1,13,9,3,68
83,187,64,1,22,7,3,64
83,202,76,2,11,3,1,89
83,193,86,2,0,3,4,87
83,164,89,2,0,5,1,91
83,177,87,3,1,4,3,93
83,193,85,1,13,6,2,75
83,195,88,3,5,5,2,100
83,197,82,1,19,8,3,66
83,199,81,1,14,7,4,69
83,175,72,2,0,0,1,99
83,199,91,1,1,3,3,78
83,172,74,2,0,9,2,90
83,190,61,2,0,6,2,97
83,183,73,1,12,5,3,69
83,193,67,2,6,8,1,86
83,198,75,2,4,4,2,94
83,189,93,2,1,3,2,89
83,182,93,1,12,6,2,70
83,179,67,2,13,10,3,74
83,164,85,1,12,4,1,72
83,178,92,1,5,9,4,66
83,186,67,3,0,9,3,102
83,205,61,1,13,6,2,78
83,173,63,1,12,9,3,69
83,180,72,2,4,5,1,90
83,182,68,3,0,6,2,104
83,179,62,1,4,9,2,78
83,201,112,1,20,3,4,61
83,192,67,2,20,7,1,83
83,191,92,2,17,5,1,81
83,187,100,1,20,8,3,59
83,207,70,2,4,7,1,96
83,183,90,3,16,6,1,84
83,170,73,1,2,2,2,83
83,176,100,0,12,6,2,61
83,176,89,1,17,2,4,61
83,191,82,1,3,7,2,77
83,194,77,3,18,1,4,88
83,188,66,1,5,7,3,74
83,157,83,2,2,8,4,77
83,176,83,1,21,5,2,65
83,178,69,2,8,5,3,85
83,178,85,1,21,6,3,59
83,196,100,1,11,6,5,66
83,194,69,2,9,0,4,85
83,177,97,2,18,5,2,78
83,201,66,2,4,8,3,88
83,192,83,2,4,6,4,85
83,184,69,3,0,7,2,99
83,189,63,0,13,9,2,66
83,166,80,1,4,0,4,74
83,165,80,2,20,8,1,71
83,194,71,1,9,9,2,78
83,194,99,1,9,5,4,71
83,194,82,1,6,2,2,80
83,197,79,3,7,7,2,94
83,214,89,1,11,4,2,80
83,166,71,2,1,7,3,82
83,199,63,1,10,7,2,77
83,167,95,1,1,1,2,80
83,192,68,3,7,8,3,92
83,184,94,2,16,9,3,74
82,195,87,1,1,1,2,84
82,178,69,2,11,9,2,78
82,176,69,1,0,6,2,81
82,209,90,1,17,6,3,68
82,169,94,1,20,3,1,66
